,mutation_1,mutation_2,crossover_1,crossover_2
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1776.4890125848515,-1917.5713390636377,-1842.97944303228,-1835.755153389812
"[30, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-324.02909627300096,-135.38411508389441,-61.48514975562871,-28.23157076722996
"[30, -29, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-36.116745388994225,-62.89280106677406
"[30, -29, -35, 0, 0, 0, 0, 0, 0, 0]",-65.08512378667324,0.0,0.0,0.0
"[30, -29, -35, -9, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-65.06561610240769
"[30, -29, -35, -9, 1, 0, 0, 0, 0, 0]",0.0,0.0,-68.19608006533576,0.0
"[30, -29, -35, -9, 1, -11, 0, 0, 0, 0]",0.0,-113.45567918402594,0.0,0.0
"[30, -29, -35, -9, 1, -11, 48, 0, 0, 0]",0.0,0.0,0.0,-149.01129971072035
"[30, -29, -35, -9, 1, -11, 48, -41, 0, 0]",-150.4591248071798,0.0,0.0,0.0
"[30, -29, -35, -9, 1, -11, 48, -41, -7, 0]",-178.9099604806439,0.0,0.0,0.0
"[30, -29, -35, -9, 1, -11, 48, -41, -7, 38]",0.0,0.0,0.0,0.0
"[-16, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-62.643862166535285,-68.16528270788443,-84.05373782625165,-58.83706659789091
"[-16, -5, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-51.608952173296416,0.0
"[-16, -5, -46, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-52.08295283545423
"[-16, -5, -46, -3, 0, 0, 0, 0, 0, 0]",0.0,0.0,-66.01996010022516,0.0
"[-16, -5, -46, -3, -25, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-85.29888604920612
"[-16, -5, -46, -3, -25, -30, 0, 0, 0, 0]",0.0,0.0,0.0,-85.7642026712533
"[-16, -5, -46, -3, -25, -30, -3, 0, 0, 0]",0.0,0.0,0.0,-89.62944407712243
"[-16, -5, -46, -3, -25, -30, -3, 14, 0, 0]",0.0,0.0,0.0,-93.24062126351333
